chr22	15240000	16400000
chr22	16400000	17040000
chr22	17320000	18040000
chr22	18080000	18320000
chr22	18480000	19720000
chr22	20240000	23360000
chr22	23400000	25080000
chr22	25200000	25560000
chr22	25560000	26600000
chr22	26600000	28000000
chr22	28040000	29080000
chr22	29320000	30040000
chr22	30160000	31720000
chr22	31800000	34200000
chr22	34200000	34840000
chr22	35000000	35240000
chr22	35240000	35760000
chr22	35960000	36200000
chr22	36640000	37440000
chr22	37480000	39080000
chr22	39120000	40240000
chr22	40360000	41280000
chr22	41320000	41880000
chr22	41920000	43480000
chr22	43520000	45360000
chr22	45560000	48520000
chr22	48560000	49691432
